,Date_of_prediction,brand,Actual+1,Forecasted+1,Actual+2,Forecasted+2,Actual+3,Forecasted+3,Actual+4,Forecasted+4,Actual+5,Forecasted+5,Actual+6,Forecasted+6
0,2024-08-10,BingeTown,1.0,4,-9.0,2,-11.0,-2,1.0,9,-8.0,4,-15.0,-3
0,2024-08-10,others,-53.0,-45,-47.0,-27,-55.0,-41,-41.0,-48,-60.0,-28,-39.0,-17
1,2024-08-11,BingeTown,0.0,2,-7.0,-2,-3.0,9,-2.0,4,-14.0,-3,-11.0,-3
1,2024-08-11,others,-37.0,-27,-45.0,-41,-40.0,-48,-53.0,-28,-40.0,-17,-63.0,-37
2,2024-08-12,BingeTown,-5.0,-2,-2.0,9,-1.0,4,-11.0,-3,-13.0,-3,2.0,3
2,2024-08-12,others,-53.0,-41,-42.0,-48,-47.0,-28,-27.0,-17,-59.0,-37,-31.0,-13
3,2024-08-25,BingeTown,0.0,-5,-8.0,0,-13.0,-19,-3.0,7,-1.0,2,-10.0,8
3,2024-08-25,others,-39.0,-14,-42.0,-30,-41.0,-37,-19.0,-13,-16.0,-25,-25.0,-36
4,2024-08-26,BingeTown,9.0,0,11.0,19,3.0,-7,9.0,-2,12.0,-8,5.0,-6
4,2024-08-26,others,48.0,30,41.0,37,20.0,13,26.0,25,27.0,36,36.0,31
5,2024-08-27,BingeTown,-11.0,-19,-1.0,7,-2.0,2,-9.0,8,-13.0,6,-8.0,-7
5,2024-08-27,others,47.0,37,20.0,13,19.0,25,29.0,36,49.0,31,64.0,39
6,2024-08-28,BingeTown,-4.0,7,0.0,2,-9.0,8,-2.0,6,-5.0,-7,-4.0,-7
6,2024-08-28,others,18.0,13,12.0,25,26.0,36,39.0,31,54.0,39,38.0,17
7,2024-08-29,BingeTown,1.0,-2,13.0,-8,13.0,-6,7.0,7,13.0,7,12.0,5
7,2024-08-29,others,13.0,25,28.0,36,44.0,31,47.0,39,45.0,17,42.0,23
8,2024-08-30,BingeTown,4.0,-8,3.0,-6,7.0,7,13.0,7,11.0,5,10.0,4
8,2024-08-30,others,22.0,36,39.0,31,41.0,39,45.0,17,39.0,23,29.0,38
9,2024-08-31,BingeTown,0.0,-6,10.0,7,12.0,7,13.0,5,10.0,4,4.0,4
9,2024-08-31,others,30.0,31,46.0,39,47.0,17,44.0,23,24.0,38,19.0,39
10,2024-09-01,BingeTown,6.0,7,6.0,7,8.0,5,10.0,4,6.0,4,2.0,6
10,2024-09-01,others,46.0,39,39.0,17,37.0,23,26.0,38,21.0,39,22.0,68
11,2024-09-02,BingeTown,-4.0,-7,-7.0,-5,-4.0,-4,-6.0,-4,4.0,-6,-1.0,2
11,2024-09-02,others,31.0,17,36.0,23,28.0,38,32.0,39,34.0,68,34.0,16
12,2024-09-03,BingeTown,-4.0,-5,-6.0,-4,-8.0,-4,4.0,-6,-16.0,2,-8.0,-20
12,2024-09-03,others,-39.0,-23,-33.0,-38,-28.0,-39,-37.0,-68,-49.0,-16,-50.0,-51
13,2024-09-04,BingeTown,-6.0,-4,-7.0,-4,-2.0,-6,-6.0,2,-7.0,-20,2.0,-4
13,2024-09-04,others,-26.0,-38,-29.0,-39,-37.0,-68,-44.0,-16,-52.0,-51,-39.0,-47
14,2024-09-05,BingeTown,8.0,4,2.0,6,4.0,-2,13.0,20,-3.0,4,6.0,9
14,2024-09-05,others,53.0,39,60.0,68,59.0,16,70.0,51,47.0,47,57.0,31
15,2024-09-06,BingeTown,-2.0,-6,-9.0,2,-17.0,-20,-4.0,-4,-7.0,-9,5.0,-31
15,2024-09-06,others,50.0,68,45.0,16,57.0,51,40.0,47,24.0,31,17.0,54
16,2024-09-07,BingeTown,0.0,2,-16.0,-20,2.0,-4,-12.0,-9,-2.0,-31,9.0,22
16,2024-09-07,others,31.0,16,53.0,51,22.0,47,31.0,31,21.0,54,16.0,-5
17,2024-09-08,BingeTown,-18.0,-20,3.0,-4,-12.0,-9,3.0,-31,10.0,22,3.0,2
17,2024-09-08,others,54.0,51,24.0,47,40.0,31,15.0,54,15.0,-5,39.0,31
18,2024-09-09,BingeTown,-2.0,-4,-6.0,-9,-1.0,-31,4.0,22,2.0,2,1.0,-16
18,2024-09-09,others,-26.0,-47,-28.0,-31,-21.0,-54,-21.0,5,-39.0,-31,-31.0,-58
19,2024-09-10,BingeTown,10.0,9,2.0,31,5.0,-22,4.0,-2,-3.0,16,11.0,5
19,2024-09-10,others,34.0,31,21.0,54,28.0,-5,46.0,31,28.0,58,41.0,23
20,2024-09-11,BingeTown,-1.0,31,1.0,-22,4.0,-2,1.0,16,14.0,5,12.0,1
20,2024-09-11,others,18.0,54,29.0,-5,46.0,31,32.0,58,42.0,23,28.0,25
21,2024-09-12,BingeTown,-3.0,-22,-6.0,-2,-2.0,16,-2.0,5,-2.0,1,0.0,16
21,2024-09-12,others,-53.0,5,-69.0,-31,-49.0,-58,-48.0,-23,-46.0,-25,-45.0,-26
22,2024-09-13,BingeTown,0.0,2,2.0,-16,9.0,-5,11.0,-1,5.0,-16,15.0,7
22,2024-09-13,others,-39.0,-31,-31.0,-58,-16.0,-23,0.0,-25,-8.0,-26,-10.0,-35
23,2024-09-14,BingeTown,-6.0,-16,-13.0,-5,-5.0,-1,-10.0,-16,-3.0,7,-2.0,-14
23,2024-09-14,others,-40.0,-58,-41.0,-23,-20.0,-25,-37.0,-26,-37.0,-35,-36.0,-18
24,2024-09-15,BingeTown,10.0,5,5.0,1,19.0,16,0.0,-7,1.0,14,2.0,0
24,2024-09-15,others,30.0,23,43.0,25,58.0,26,22.0,35,60.0,18,43.0,36
25,2024-09-16,BingeTown,-7.0,-1,-17.0,-16,-1.0,7,3.0,-14,-3.0,0,-1.0,-8
25,2024-09-16,others,24.0,25,34.0,26,23.0,35,41.0,18,42.0,36,35.0,31
26,2024-09-17,BingeTown,-19.0,-16,-2.0,7,-4.0,-14,-6.0,0,-2.0,-8,3.0,9
26,2024-09-17,others,37.0,26,23.0,35,22.0,18,42.0,36,23.0,31,54.0,7
27,2024-09-18,BingeTown,-3.0,-7,6.0,14,7.0,0,4.0,8,6.0,-9,11.0,17
27,2024-09-18,others,21.0,35,27.0,18,44.0,36,27.0,31,48.0,7,54.0,23
28,2024-09-19,BingeTown,11.0,14,1.0,0,2.0,8,4.0,-9,13.0,17,15.0,9
28,2024-09-19,others,35.0,18,40.0,36,30.0,31,29.0,7,30.0,23,30.0,14
29,2024-09-20,BingeTown,6.0,0,3.0,8,6.0,-9,12.0,17,18.0,9,13.0,15
29,2024-09-20,others,50.0,36,26.0,31,26.0,7,21.0,23,50.0,14,57.0,24
30,2024-09-21,BingeTown,6.0,8,3.0,-9,15.0,17,15.0,9,9.0,15,23.0,-1
30,2024-09-21,others,32.0,31,19.0,7,24.0,23,40.0,14,39.0,24,35.0,25
31,2024-09-22,BingeTown,-3.0,9,-18.0,-17,-7.0,-9,-11.0,-15,-12.0,1,-5.0,5
31,2024-09-22,others,19.0,7,21.0,23,39.0,14,28.0,24,36.0,25,48.0,57
32,2024-09-23,BingeTown,-25.0,-17,-10.0,-9,-8.0,-15,-9.0,1,-6.0,5,-1.0,-9
32,2024-09-23,others,-28.0,-23,-19.0,-14,-29.0,-24,-28.0,-25,-48.0,-57,-32.0,-51
33,2024-09-24,BingeTown,-10.0,-9,1.0,-15,-9.0,1,-7.0,5,-8.0,-9,-11.0,-6
33,2024-09-24,others,-21.0,-14,-21.0,-24,-28.0,-25,-47.0,-57,-31.0,-51,-33.0,-26
34,2024-09-25,BingeTown,-10.0,-15,-8.0,1,-9.0,5,-4.0,-9,-7.0,-6,-8.0,-12
34,2024-09-25,others,-29.0,-24,-36.0,-25,-49.0,-57,-32.0,-51,-36.0,-26,-26.0,-31
35,2024-09-26,BingeTown,-7.0,1,-9.0,5,-1.0,-9,-10.0,-6,-15.0,-12,10.0,-9
35,2024-09-26,others,34.0,25,62.0,57,34.0,51,34.0,26,48.0,31,37.0,41
36,2024-09-27,BingeTown,3.0,5,2.0,-9,-10.0,-6,-21.0,-12,3.0,-9,7.0,-13
36,2024-09-27,others,44.0,57,30.0,51,33.0,26,48.0,31,16.0,41,31.0,18
