,Date_of_prediction,brand,Actual+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Forecasted+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Slots_Booked+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Error
0,2024-08-10,BingeNBash,51.0,37.0,48,25.0,37.0,43,18.0,44.0,54,21.0,37.0,55,17.0,34.0,45,12.0,53,37.0,48,25.0,37.0,43,18.0,44.0,54,21.0,37.0,55,17.0,34.0,45,12.0,43.0,37.0,48,25.0,37.0,43,18.0,44.0,54,21.0,37.0,55,17.0,34.0,45,12.0,9.666666666666666
0,2024-08-10,BingeTown,48.0,44.0,46,33.0,47.0,45,31.0,43.0,45,28.0,45.0,51,30.0,49.0,48,25.0,49,44.0,46,33.0,47.0,45,31.0,43.0,45,28.0,45.0,51,30.0,49.0,48,25.0,41.0,44.0,46,33.0,47.0,45,31.0,43.0,45,28.0,45.0,51,30.0,49.0,48,25.0,2.3333333333333335
0,2024-08-10,others,103.0,81.0,75,41.0,93.0,84,42.0,88.0,102,25.0,98.0,83,38.0,69.0,62,15.0,98,81.0,75,41.0,93.0,84,42.0,88.0,102,25.0,98.0,83,38.0,69.0,62,15.0,76.0,81.0,75,41.0,93.0,84,42.0,88.0,102,25.0,98.0,83,38.0,69.0,62,15.0,9.333333333333334
1,2024-08-11,BingeNBash,41.0,39.0,43,24.0,46.0,54,25.0,45.0,55,22.0,34.0,45,14.0,41.0,43,9.0,48,39.0,43,24.0,46.0,54,25.0,45.0,55,22.0,34.0,45,14.0,41.0,43,9.0,33.0,39.0,43,24.0,46.0,54,25.0,45.0,55,22.0,34.0,45,14.0,41.0,43,9.0,7.0
1,2024-08-11,BingeTown,42.0,44.0,45,34.0,49.0,45,32.0,48.0,51,32.0,48.0,48,30.0,51.0,46,20.0,46,44.0,45,34.0,49.0,45,32.0,48.0,51,32.0,48.0,48,30.0,51.0,46,20.0,36.0,44.0,45,34.0,49.0,45,32.0,48.0,51,32.0,48.0,48,30.0,51.0,46,20.0,2.8333333333333335
1,2024-08-11,others,79.0,79.0,84,48.0,87.0,102,31.0,98.0,83,45.0,73.0,62,19.0,104.0,80,24.0,75,79.0,84,48.0,87.0,102,31.0,98.0,83,45.0,73.0,62,19.0,104.0,80,24.0,52.0,79.0,84,48.0,87.0,102,31.0,98.0,83,45.0,73.0,62,19.0,104.0,80,24.0,12.333333333333334
2,2024-08-12,BingeNBash,41.0,46.0,54,29.0,48.0,55,29.0,35.0,45,17.0,39.0,43,11.0,51.0,50,20.0,43,46.0,54,29.0,48.0,55,29.0,35.0,45,17.0,39.0,43,11.0,51.0,50,20.0,30.0,46.0,54,29.0,48.0,55,29.0,35.0,45,17.0,39.0,43,11.0,51.0,50,20.0,5.333333333333333
2,2024-08-12,BingeTown,44.0,48.0,45,36.0,49.0,51,33.0,45.0,48,28.0,51.0,46,22.0,49.0,47,26.0,45,48.0,45,36.0,49.0,51,33.0,45.0,48,28.0,51.0,46,22.0,49.0,47,26.0,38.0,48.0,45,36.0,49.0,51,33.0,45.0,48,28.0,51.0,46,22.0,49.0,47,26.0,2.6666666666666665
2,2024-08-12,others,92.0,89.0,102,40.0,97.0,83,50.0,69.0,62,22.0,93.0,80,27.0,81.0,63,19.0,84,89.0,102,40.0,97.0,83,50.0,69.0,62,22.0,93.0,80,27.0,81.0,63,19.0,55.0,89.0,102,40.0,97.0,83,50.0,69.0,62,22.0,93.0,80,27.0,81.0,63,19.0,12.166666666666666
3,2024-08-25,BingeNBash,38.0,38.0,41,19.0,32.0,22,11.0,40.0,36,18.0,44.0,40,20.0,40.0,51,11.0,38,38.0,41,19.0,32.0,22,11.0,40.0,36,18.0,44.0,40,20.0,40.0,51,11.0,25.0,38.0,41,19.0,32.0,22,11.0,40.0,36,18.0,44.0,40,20.0,40.0,51,11.0,5.333333333333333
