Date_of_prediction,Actual+1,day+2,day+3,day+4,day+5,day+6,Forecasted+1,day+2,day+3,day+4,day+5,day+6,Slots_Booked+1,day+2,day+3,day+4,day+5,day+6,Error
10-08-2024,51,37,37,45,37,33,53,48,43,54,55,45,43,25,18,21,17,12,9.666666667
11-08-2024,42,38,46,46,34,41,48,43,54,55,45,43,33,24,25,22,14,9,6.833333333
12-08-2024,40,45,48,36,39,51,43,54,55,45,43,50,30,29,29,17,11,20,5.5
25-08-2024,37,37,31,40,45,40,38,41,22,36,40,51,25,19,11,18,20,11,5.666666667
26-08-2024,37,31,39,35,40,40,41,22,36,40,51,50,25,14,19,21,13,13,7
27-08-2024,31,41,43,39,35,31,22,36,40,51,50,35,17,22,23,17,17,9,8
28-08-2024,37,48,37,38,38,40,36,40,51,50,35,31,25,30,19,19,13,10,7.833333333
29-08-2024,47,37,38,36,29,32,40,51,50,35,31,38,34,26,24,17,10,5,7
30-08-2024,44,46,35,30,32,32,51,50,35,31,38,33,32,30,21,13,6,6,3.166666667
31-08-2024,50,36,30,31,32,42,50,35,31,38,33,35,38,24,14,8,6,11,2.833333333
01-09-2024,40,37,34,32,39,42,35,31,38,33,35,33,29,17,15,8,11,11,4.833333333
02-09-2024,37,34,33,33,43,40,31,38,33,35,33,43,21,19,13,12,12,10,4.166666667
03-09-2024,36,27,35,39,32,30,38,33,35,33,43,19,24,12,15,13,10,6,6
04-09-2024,34,37,44,40,31,44,33,35,33,43,19,31,20,20,15,13,8,11,7
05-09-2024,38,48,45,28,46,33,35,33,43,19,31,25,26,20,18,9,14,8,8.666666667
06-09-2024,48,42,29,41,33,34,33,43,19,31,25,49,26,18,10,15,9,7,9.833333333
07-09-2024,45,28,46,29,34,45,43,19,31,25,49,64,29,11,20,10,9,13,10.66666667
08-09-2024,26,46,27,42,49,46,19,31,25,49,64,44,13,23,10,15,14,14,8
09-09-2024,41,34,37,41,48,51,31,25,49,64,44,36,28,18,17,14,18,17,12.16666667
10-09-2024,33,38,39,46,51,32,25,49,64,44,36,26,21,19,16,20,17,5,11.16666667
11-09-2024,38,39,47,47,30,29,49,64,44,36,26,24,25,20,25,19,7,6,9.833333333
12-09-2024,48,49,50,50,50,50,64,44,36,26,24,21,63,62,53,38,39,37,19
13-09-2024,49,50,50,50,50,50,44,36,26,24,21,30,68,56,39,42,37,38,19.66666667
14-09-2024,44,25,33,33,33,37,36,26,24,21,30,30,28,13,14,8,9,9,6.666666667
15-09-2024,28,32,25,38,37,44,26,24,21,30,30,46,20,16,11,17,11,15,5.166666667
16-09-2024,31,25,37,39,44,44,24,21,30,30,46,40,20,12,15,17,16,11,5.5
17-09-2024,24,36,38,43,45,43,21,30,30,46,40,34,17,19,18,18,13,12,5.666666667
18-09-2024,38,36,40,44,37,33,30,30,46,40,34,28,25,18,22,20,13,3,5.333333333
19-09-2024,31,44,47,36,33,34,30,46,40,34,28,35,20,28,27,15,6,9,3
20-09-2024,44,46,34,33,32,33,46,40,34,28,35,28,38,30,15,6,10,6,3.5
21-09-2024,42,38,31,36,34,34,40,34,28,35,28,35,32,24,9,15,9,5,2.833333333
22-09-2024,38,31,38,34,32,40,34,28,35,28,35,42,27,11,20,12,5,13,3.5
23-09-2024,28,38,35,32,37,44,28,35,28,35,42,35,20,23,16,8,12,14,4.5
24-09-2024,37,39,32,37,46,27,35,28,35,42,35,26,27,21,9,13,16,7,5.5
25-09-2024,36,32,39,43,29,33,28,35,42,35,26,29,25,11,18,18,9,6,4.833333333
26-09-2024,33,38,47,27,30,51,35,42,35,26,29,38,24,22,24,10,9,21,5.5
27-09-2024,49,46,26,27,43,32,42,35,26,29,38,25,35,27,12,10,26,7,5.333333333
28-09-2024,39,23,27,50,34,41,35,26,29,38,25,21,31,14,11,28,10,9,8.333333333
29-09-2024,31,35,52,32,32,43,26,29,38,25,21,35,21,18,32,11,9,10,8.5
30-09-2024,30,52,32,33,40,44,29,38,25,21,35,38,21,36,13,12,10,13,7.5
01-10-2024,41,33,46,45,45,24,38,25,21,35,38,26,36,19,18,18,13,6,9.166666667
02-10-2024,31,32,43,43,23,26,25,21,35,38,26,30,21,16,19,16,7,7,6.166666667
03-10-2024,31,45,43,24,27,34,21,35,38,26,30,29,20,21,21,10,9,4,5.833333333
04-10-2024,37,39,38,25,28,43,35,38,26,30,29,25,25,20,17,11,7,9,6.5
05-10-2024,38,34,25,24,33,32,38,26,30,29,25,22,26,18,13,9,9,5,6
14-10-2024,29,32,31,34,32,37,28,20,21,35,30,36,22,9,5,14,8,10,4.5
15-10-2024,23,31,35,30,41,28,20,21,35,30,36,29,15,7,19,12,14,6,3.166666667
16-10-2024,31,34,40,38,28,28,21,35,30,36,29,22,12,23,18,16,7,5,5
17-10-2024,34,38,37,27,28,33,35,30,36,29,22,29,26,22,18,10,6,6,3.666666667
18-10-2024,36,37,30,28,36,30,30,36,29,22,29,23,26,23,10,6,6,7,4.666666667
19-10-2024,38,25,28,36,30,29,36,29,22,29,23,30,29,12,8,7,8,8,4.5
20-10-2024,25,30,24,31,29,38,29,22,29,23,30,40,19,11,11,9,10,14,4.666666667
21-10-2024,29,23,30,35,39,41,22,29,23,30,40,38,14,14,12,14,14,18,4.833333333
22-10-2024,28,25,33,41,41,29,29,23,30,40,38,31,22,12,16,19,21,7,2
23-10-2024,23,27,38,40,31,30,23,30,40,38,31,27,19,17,23,23,8,8,1.666666667
