7_days,14_days,21_days,28_days,nth_day,week_day,target
58.0,60.0,60.0,60.0,1,4,57
57.0,60.0,60.0,60.0,2,5,54
60.0,60.0,60.0,60.0,3,6,59
60.0,60.0,60.0,60.0,4,0,58
48.0,51.0,52.0,49.0,5,1,54
56.0,53.0,55.0,50.0,6,2,50
60.0,60.0,60.0,60.0,7,3,50
53.0,55.0,57.0,57.0,1,5,54
60.0,60.0,60.0,60.0,2,6,59
60.0,60.0,60.0,60.0,3,0,58
50.0,53.0,53.0,51.0,4,1,54
47.0,51.0,52.0,50.0,5,2,50
60.0,60.0,60.0,60.0,6,3,50
60.0,60.0,60.0,60.0,7,4,57
60.0,60.0,60.0,60.0,1,6,59
60.0,60.0,60.0,60.0,2,0,58
48.0,51.0,51.0,51.0,3,1,54
55.0,58.0,58.0,57.0,4,2,50
60.0,60.0,60.0,60.0,5,3,50
60.0,60.0,60.0,60.0,6,4,57
60.0,60.0,60.0,60.0,7,5,53
60.0,60.0,60.0,60.0,1,0,58
50.0,52.0,53.0,54.0,2,1,54
45.0,49.0,49.0,50.0,3,2,50
55.0,59.0,59.0,60.0,4,3,50
57.0,60.0,60.0,60.0,5,4,57
60.0,60.0,60.0,60.0,6,5,53
60.0,60.0,60.0,60.0,7,6,60
56.0,56.0,58.0,59.0,1,1,54
44.0,45.0,46.0,48.0,2,2,50
50.0,54.0,55.0,56.0,3,3,50
49.0,52.0,53.0,55.0,4,4,57
60.0,60.0,60.0,60.0,5,5,53
60.0,60.0,60.0,60.0,6,6,60
60.0,60.0,60.0,60.0,7,0,58
46.0,47.0,49.0,49.0,1,2,50
51.0,53.0,55.0,55.0,2,3,50
54.0,58.0,60.0,60.0,3,4,57
60.0,60.0,60.0,60.0,4,5,53
60.0,60.0,60.0,60.0,5,6,60
60.0,60.0,60.0,60.0,6,0,58
60.0,60.0,60.0,60.0,7,1,58
49.0,50.0,52.0,53.0,1,3,50
58.0,60.0,60.0,60.0,2,4,57
60.0,60.0,60.0,60.0,3,5,53
60.0,60.0,60.0,60.0,4,6,60
60.0,60.0,60.0,60.0,5,0,58
60.0,60.0,60.0,60.0,6,1,58
60.0,60.0,60.0,60.0,7,2,59
58.0,58.0,60.0,60.0,1,4,57
58.0,60.0,60.0,60.0,2,5,53
60.0,60.0,60.0,60.0,3,6,60
60.0,60.0,60.0,60.0,4,0,58
60.0,60.0,60.0,60.0,5,1,58
60.0,60.0,60.0,60.0,6,2,59
60.0,60.0,60.0,60.0,7,3,60
54.0,55.0,56.0,58.0,1,5,53
60.0,60.0,60.0,60.0,2,6,60
60.0,60.0,60.0,60.0,3,0,58
60.0,60.0,60.0,60.0,4,1,58
60.0,60.0,60.0,60.0,5,2,59
60.0,60.0,60.0,60.0,6,3,60
60.0,60.0,60.0,60.0,7,4,59
60.0,60.0,60.0,60.0,1,6,60
60.0,60.0,60.0,60.0,2,0,58
60.0,60.0,60.0,60.0,3,1,58
60.0,60.0,60.0,60.0,4,2,59
60.0,60.0,60.0,60.0,5,3,60
60.0,60.0,60.0,60.0,6,4,59
60.0,60.0,60.0,60.0,7,5,58
58.0,59.0,60.0,60.0,1,0,58
59.0,60.0,60.0,60.0,2,1,58
60.0,60.0,60.0,60.0,3,2,59
60.0,60.0,60.0,60.0,4,3,60
53.0,60.0,60.0,60.0,5,4,59
60.0,60.0,60.0,60.0,6,5,58
60.0,60.0,60.0,60.0,7,6,59
58.0,59.0,60.0,60.0,1,1,58
60.0,60.0,60.0,60.0,2,2,59
60.0,60.0,60.0,60.0,3,3,60
51.0,57.0,60.0,60.0,4,4,59
60.0,60.0,60.0,60.0,5,5,58
60.0,60.0,60.0,60.0,6,6,59
60.0,60.0,60.0,60.0,7,0,60
60.0,60.0,60.0,60.0,1,2,59
60.0,60.0,60.0,60.0,2,3,60
52.0,57.0,60.0,60.0,3,4,59
60.0,60.0,60.0,60.0,4,5,58
60.0,60.0,60.0,60.0,5,6,59
59.0,60.0,60.0,60.0,6,0,60
46.0,57.0,60.0,60.0,7,1,54
60.0,60.0,60.0,60.0,1,3,60
57.0,60.0,60.0,60.0,2,4,59
56.0,60.0,60.0,60.0,3,5,58
60.0,60.0,60.0,60.0,4,6,59
56.0,60.0,60.0,60.0,5,0,60
38.0,46.0,53.0,55.0,6,1,54
47.0,59.0,60.0,60.0,7,2,55
58.0,59.0,59.0,60.0,1,4,59
58.0,60.0,60.0,60.0,2,5,58
